#Release 14.7 - par P.20160913 (lin64)
#Copyright (c) 1995-2013 Xilinx, Inc.  All rights reserved.

#Wed Oct 17 17:49:06 2018

#
## NOTE: This file is designed to be imported into a spreadsheet program
# such as Microsoft Excel for viewing, printing and sorting. The |
# character is used as the data field separator. This file is also designed
# to support parsing.
#
#INPUT FILE:       data_ports_map.ncd
#OUTPUT FILE:      data_ports_pad.csv
#PART TYPE:        xc6slx150t
#SPEED GRADE:      -3
#PACKAGE:          fgg676
#
# Pinout by Pin Number:
# 
# -----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,-----,
Pin Number,Signal Name,Pin Usage,Pin Name,Direction,IO Standard,IO Bank Number,Drive (mA),Slew Rate,Termination,IOB Delay,Voltage,Constraint,IO Register,Signal Integrity,
AA1,DATA_INPUT<28>,IOB,IO_L36N_M3DQ9_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
AA2,DATA_INPUT<26>,IOB,IO_L36P_M3DQ8_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
AA3,DATA_INPUT<3>,IOB,IO_L2N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
AA4,DATA_INPUT<2>,IOB,IO_L2P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
AA5,,,VCCAUX,,,,,,,,2.5,,,,
AA6,DATA_OUTPUT<61>,IOB,IO_L64N_D9_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AA7,DATA_OUTPUT<60>,IOB,IO_L64P_D8_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AA8,DATA_OUTPUT<47>,IOB,IO_L52N_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AA9,DATA_OUTPUT<40>,IOB,IO_L47P_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AA10,DATA_OUTPUT<42>,IOB,IO_L48P_D7_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AA11,DATA_OUTPUT<37>,IOB,IO_L41N_VREF_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AA12,DATA_OUTPUT<29>,IOB,IO_L33N_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AA13,DATA_OUTPUT<35>,IOB,IO_L36N_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AA14,,,VCCO_2,,,2,,,,,2.50,,,,
AA15,DATA_OUTPUT<18>,IOB,IO_L28P_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AA16,DATA_OUTPUT<13>,IOB,IO_L24N_VREF_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AA17,DATA_OUTPUT<3>,IOB,IO_L16N_VREF_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AA18,DATA_OUTPUT<10>,IOB,IO_L20P_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AA19,DATA_OUTPUT<6>,IOB,IO_L18P_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AA20,,,VCCO_2,,,2,,,,,2.50,,,,
AA21,DATA_OUTPUT<0>,IOB,IO_L15P_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AA22,data_addr_out<5>,IOB,IO_L2N_CMPMOSI_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AA23,,IOBM,IO_L67P_1,UNUSED,,1,,,,,,,,,
AA24,,IOBS,IO_L67N_1,UNUSED,,1,,,,,,,,,
AA25,,IOBM,IO_L47P_FWE_B_M1DQ0_1,UNUSED,,1,,,,,,,,,
AA26,,IOBS,IO_L47N_LDC_M1DQ1_1,UNUSED,,1,,,,,,,,,
AB1,DATA_INPUT<19>,IOB,IO_L32N_M3DQ15_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
AB2,,,GND,,,,,,,,,,,,
AB3,DATA_INPUT<20>,IOB,IO_L32P_M3DQ14_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
AB4,DATA_INPUT<6>,IOB,IO_L8P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
AB5,DATA_INPUT<0>,IOB,IO_L1P_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
AB6,,,VCCO_2,,,2,,,,,2.50,,,,
AB7,DATA_OUTPUT<52>,IOB,IO_L53P_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AB8,,,VCCAUX,,,,,,,,2.5,,,,
AB9,DATA_OUTPUT<41>,IOB,IO_L47N_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AB10,,,MGTRREF_245,,,,,,,,,,,,
AB11,DATA_OUTPUT<51>,IOB,IO_L48N_RDWR_B_VREF_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AB12,,,MGTAVTTRCAL_245,,,,,,,,,,,,
AB13,DATA_OUTPUT<34>,IOB,IO_L36P_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AB14,DATA_OUTPUT<22>,IOB,IO_L30P_GCLK1_D13_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AB15,DATA_OUTPUT<19>,IOB,IO_L28N_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AB16,,,GND,,,,,,,,,,,,
AB17,DATA_OUTPUT<11>,IOB,IO_L20N_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AB18,,,VCCAUX,,,,,,,,2.5,,,,
AB19,DATA_OUTPUT<7>,IOB,IO_L18N_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AB20,,,GND,,,,,,,,,,,,
AB21,DATA_OUTPUT<1>,IOB,IO_L15N_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AB22,data_address<2>,IOB,IO_L5P_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
AB23,,,VCCO_1,,,1,,,,,any******,,,,
AB24,,IOBM,IO_L49P_M1DQ10_1,UNUSED,,1,,,,,,,,,
AB25,,,GND,,,,,,,,,,,,
AB26,,IOBS,IO_L49N_M1DQ11_1,UNUSED,,1,,,,,,,,,
AC1,DATA_INPUT<23>,IOB,IO_L34N_M3UDQSN_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
AC2,DATA_INPUT<22>,IOB,IO_L34P_M3UDQS_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
AC3,DATA_INPUT<7>,IOB,IO_L8N_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
AC4,DATA_INPUT<1>,IOB,IO_L1N_VREF_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
AC5,DATA_OUTPUT<54>,IOB,IO_L61P_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AC6,DATA_OUTPUT<53>,IOB,IO_L53N_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AC7,,,VCCAUX,,,,,,,,2.5,,,,
AC8,,IPAD,MGTRXP0_245,UNUSED,,,,,,,,,,,
AC9,,,MGTAVTTRX_245,,,,,,,,,,,,
AC10,,IPAD,MGTRXP1_245,UNUSED,,,,,,,,,,,
AC11,,,GND,,,,,,,,,,,,
AC12,,IPAD,MGTREFCLK1P_245,UNUSED,,,,,,,,,,,
AC13,,,GND,,,,,,,,,,,,
AC14,DATA_OUTPUT<23>,IOB,IO_L30N_GCLK0_USERCCLK_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AC15,,,GND,,,,,,,,,,,,
AC16,,IPAD,MGTREFCLK0P_267,UNUSED,,,,,,,,,,,
AC17,,,GND,,,,,,,,,,,,
AC18,,IPAD,MGTRXP0_267,UNUSED,,,,,,,,,,,
AC19,,,MGTAVTTRX_267,,,,,,,,,,,,
AC20,,IPAD,MGTRXP1_267,UNUSED,,,,,,,,,,,
AC21,,,VCCAUX,,,,,,,,2.5,,,,
AC22,data_address<3>,IOB,IO_L5N_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
AC23,,IOBM,IO_L74P_AWAKE_1,UNUSED,,1,,,,,,,,,
AC24,,IOBS,IO_L74N_DOUT_BUSY_1,UNUSED,,1,,,,,,,,,
AC25,,IOBM,IO_L50P_M1UDQS_1,UNUSED,,1,,,,,,,,,
AC26,,IOBS,IO_L50N_M1UDQSN_1,UNUSED,,1,,,,,,,,,
AD1,DATA_INPUT<21>,IOB,IO_L33N_M3DQ13_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
AD2,,,VCCO_3,,,3,,,,,2.50,,,,
AD3,DATA_INPUT<17>,IOB,IO_L33P_M3DQ12_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
AD4,DATA_OUTPUT<58>,IOB,IO_L63P_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AD5,DATA_OUTPUT<55>,IOB,IO_L61N_VREF_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AD6,DATA_OUTPUT<44>,IOB,IO_L49P_D3_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AD7,,,GND,,,,,,,,,,,,
AD8,,IPAD,MGTRXN0_245,UNUSED,,,,,,,,,,,
AD9,,,GND,,,,,,,,,,,,
AD10,,IPAD,MGTRXN1_245,UNUSED,,,,,,,,,,,
AD11,,,MGTAVCC_245,,,,,,,,,,,,
AD12,,IPAD,MGTREFCLK1N_245,UNUSED,,,,,,,,,,,
AD13,,,MGTAVCCPLL1_245,,,,,,,,,,,,
AD14,DATA_OUTPUT<26>,IOB,IO_L32P_GCLK29_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AD15,,,MGTAVCCPLL0_267,,,,,,,,,,,,
AD16,,IPAD,MGTREFCLK0N_267,UNUSED,,,,,,,,,,,
AD17,,,MGTAVCC_267,,,,,,,,,,,,
AD18,,IPAD,MGTRXN0_267,UNUSED,,,,,,,,,,,
AD19,,,GND,,,,,,,,,,,,
AD20,,IPAD,MGTRXN1_267,UNUSED,,,,,,,,,,,
AD21,,,GND,,,,,,,,,,,,
AD22,data_address<6>,IOB,IO_L13P_M1_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
AD23,data_addr_out<6>,IOB,IO_L3P_D0_DIN_MISO_MISO1_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AD24,,IOBM,IO_L48P_HDC_M1DQ8_1,UNUSED,,1,,,,,,,,,
AD25,,,VCCO_1,,,1,,,,,any******,,,,
AD26,,IOBS,IO_L48N_M1DQ9_1,UNUSED,,1,,,,,,,,,
AE1,DATA_INPUT<25>,IOB,IO_L35N_M3DQ11_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
AE2,DATA_INPUT<24>,IOB,IO_L35P_M3DQ10_3,INPUT,LVCMOS25*,3,,,,NONE,,UNLOCATED,NO,NONE,
AE3,DATA_OUTPUT<62>,IOB,IO_L65P_INIT_B_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AE4,,,VCCO_2,,,2,,,,,2.50,,,,
AE5,DATA_OUTPUT<48>,IOB,IO_L51P_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AE6,,,GND,,,,,,,,,,,,
AE7,,OPAD,MGTTXP0_245,UNUSED,,,,,,,,,,,
AE8,,,GND,,,,,,,,,,,,
AE9,,OPAD,MGTTXP1_245,UNUSED,,,,,,,,,,,
AE10,,,GND,,,,,,,,,,,,
AE11,,IPAD,MGTREFCLK0P_245,UNUSED,,,,,,,,,,,
AE12,,,MGTAVCCPLL0_245,,,,,,,,,,,,
AE13,DATA_OUTPUT<24>,IOB,IO_L31P_GCLK31_D14_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AE14,,,VCCO_2,,,2,,,,,2.50,,,,
AE15,DATA_OUTPUT<20>,IOB,IO_L29P_GCLK3_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AE16,,,MGTAVCCPLL1_267,,,,,,,,,,,,
AE17,,IPAD,MGTREFCLK1P_267,UNUSED,,,,,,,,,,,
AE18,,,GND,,,,,,,,,,,,
AE19,,OPAD,MGTTXP0_267,UNUSED,,,,,,,,,,,
AE20,,,GND,,,,,,,,,,,,
AE21,,OPAD,MGTTXP1_267,UNUSED,,,,,,,,,,,
AE22,,,GND,,,,,,,,,,,,
AE23,,,VCCO_2,,,2,,,,,2.50,,,,
AE24,data_addr_out<2>,IOB,IO_L1P_CCLK_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AE25,,IOBM,IO_L52P_M1DQ14_1,UNUSED,,1,,,,,,,,,
AE26,,IOBS,IO_L52N_M1DQ15_1,UNUSED,,1,,,,,,,,,
AF1,,,GND,,,,,,,,,,,,
AF2,,,PROGRAM_B_2,,,,,,,,,,,,
AF3,DATA_OUTPUT<63>,IOB,IO_L65N_CSO_B_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AF4,DATA_OUTPUT<59>,IOB,IO_L63N_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AF5,DATA_OUTPUT<49>,IOB,IO_L51N_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AF6,DATA_OUTPUT<45>,IOB,IO_L49N_D4_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AF7,,OPAD,MGTTXN0_245,UNUSED,,,,,,,,,,,
AF8,,,MGTAVTTTX_245,,,,,,,,,,,,
AF9,,OPAD,MGTTXN1_245,UNUSED,,,,,,,,,,,
AF10,,,GND,,,,,,,,,,,,
AF11,,IPAD,MGTREFCLK0N_245,UNUSED,,,,,,,,,,,
AF12,,,GND,,,,,,,,,,,,
AF13,DATA_OUTPUT<25>,IOB,IO_L31N_GCLK30_D15_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AF14,DATA_OUTPUT<27>,IOB,IO_L32N_GCLK28_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AF15,DATA_OUTPUT<21>,IOB,IO_L29N_GCLK2_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AF16,,,GND,,,,,,,,,,,,
AF17,,IPAD,MGTREFCLK1N_267,UNUSED,,,,,,,,,,,
AF18,,,GND,,,,,,,,,,,,
AF19,,OPAD,MGTTXN0_267,UNUSED,,,,,,,,,,,
AF20,,,MGTAVTTTX_267,,,,,,,,,,,,
AF21,,OPAD,MGTTXN1_267,UNUSED,,,,,,,,,,,
AF22,data_address<7>,IOB,IO_L13N_D10_2,INPUT,LVCMOS25*,2,,,,NONE,,UNLOCATED,NO,NONE,
AF23,data_addr_out<7>,IOB,IO_L3N_MOSI_CSI_B_MISO0_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AF24,data_addr_out<3>,IOB,IO_L1N_M0_CMPMISO_2,OUTPUT,LVCMOS25*,2,12,SLOW,,,,UNLOCATED,NO,NONE,
AF25,,,DONE_2,,,,,,,,,,,,
AF26,,,GND,,,,,,,,,,,,
B1,,IOBS,IO_L75N_M4BA1_4,UNUSED,,4,,,,,,,,,
B2,,IOBM,IO_L75P_M4BA0_4,UNUSED,,4,,,,,,,,,
B3,TRIGGER_OUTPUT<7>,IOB,IO_L4N_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
B4,TRIGGER_OUTPUT<22>,IOB,IO_L22P_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
B5,TRIGGER_OUTPUT<26>,IOB,IO_L24P_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
B6,,OPAD,MGTTXP0_101,UNUSED,,,,,,,,,,,
B7,,,GND,,,,,,,,,,,,
B8,,OPAD,MGTTXP1_101,UNUSED,,,,,,,,,,,
B9,,,GND,,,,,,,,,,,,
B10,,IPAD,MGTREFCLK0P_101,UNUSED,,,,,,,,,,,
B11,,,MGTAVCCPLL0_101,,,,,,,,,,,,
B12,TRIGGER_OUTPUT<40>,IOB,IO_L36P_GCLK15_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
B13,,,VCCO_0,,,0,,,,,2.50,,,,
B14,TRIGGER_OUTPUT<42>,IOB,IO_L37P_GCLK13_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
B15,,,MGTAVCCPLL1_123,,,,,,,,,,,,
B16,,IPAD,MGTREFCLK1P_123,UNUSED,,,,,,,,,,,
B17,,,GND,,,,,,,,,,,,
B18,,OPAD,MGTTXP0_123,UNUSED,,,,,,,,,,,
B19,,,GND,,,,,,,,,,,,
B20,,OPAD,MGTTXP1_123,UNUSED,,,,,,,,,,,
B21,,IOBS,IO_L59N_0,UNUSED,,0,,,,,,,,,
B22,,IOBM,IO_L63P_SCP7_0,UNUSED,,0,,,,,,,,,
B23,,IOBM,IO_L65P_SCP3_0,UNUSED,,0,,,,,,,,,
B24,,IOBM,IO_L2P_M5A13_5,UNUSED,,5,,,,,,,,,
B25,,IOBM,IO_L11P_M5CLK_5,UNUSED,,5,,,,,,,,,
B26,,IOBS,IO_L11N_M5CLKN_5,UNUSED,,5,,,,,,,,,
C1,,IOBS,IO_L79N_M4A9_4,UNUSED,,4,,,,,,,,,
C2,,IOBM,IO_L79P_M4A8_4,UNUSED,,4,,,,,,,,,
C3,TRIGGER_OUTPUT<6>,IOB,IO_L4P_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
C4,,,VCCO_0,,,0,,,,,2.50,,,,
C5,TRIGGER_OUTPUT<15>,IOB,IO_L16N_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
C6,,,GND,,,,,,,,,,,,
C7,,IPAD,MGTRXN0_101,UNUSED,,,,,,,,,,,
C8,,,GND,,,,,,,,,,,,
C9,,IPAD,MGTRXN1_101,UNUSED,,,,,,,,,,,
C10,,,MGTAVCC_101,,,,,,,,,,,,
C11,,IPAD,MGTREFCLK1N_101,UNUSED,,,,,,,,,,,
C12,,,MGTAVCCPLL1_101,,,,,,,,,,,,
C13,TRIGGER_OUTPUT<38>,IOB,IO_L35P_GCLK17_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
C14,,,MGTAVCCPLL0_123,,,,,,,,,,,,
C15,,IPAD,MGTREFCLK0N_123,UNUSED,,,,,,,,,,,
C16,,,MGTAVCC_123,,,,,,,,,,,,
C17,,IPAD,MGTRXN0_123,UNUSED,,,,,,,,,,,
C18,,,GND,,,,,,,,,,,,
C19,,IPAD,MGTRXN1_123,UNUSED,,,,,,,,,,,
C20,,,GND,,,,,,,,,,,,
C21,,IOBM,IO_L59P_0,UNUSED,,0,,,,,,,,,
C22,,,VCCO_0,,,0,,,,,2.50,,,,
C23,,,TDI,,,,,,,,,,,,
C24,,IOBS,IO_L4N_M5A12_5,UNUSED,,5,,,,,,,,,
C25,,IOBM,IO_L10P_M5A0_5,UNUSED,,5,,,,,,,,,
C26,,IOBS,IO_L10N_M5A1_5,UNUSED,,5,,,,,,,,,
D1,,IOBS,IO_L68N_M4DQ5_4,UNUSED,,4,,,,,,,,,
D2,,,VCCO_4,,,4,,,,,any******,,,,
D3,,IOBM,IO_L68P_M4DQ4_4,UNUSED,,4,,,,,,,,,
D4,,,GND,,,,,,,,,,,,
D5,TRIGGER_OUTPUT<14>,IOB,IO_L16P_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
D6,,,VCCAUX,,,,,,,,2.5,,,,
D7,,IPAD,MGTRXP0_101,UNUSED,,,,,,,,,,,
D8,,,MGTAVTTRX_101,,,,,,,,,,,,
D9,,IPAD,MGTRXP1_101,UNUSED,,,,,,,,,,,
D10,,,GND,,,,,,,,,,,,
D11,,IPAD,MGTREFCLK1P_101,UNUSED,,,,,,,,,,,
D12,,,GND,,,,,,,,,,,,
D13,TRIGGER_OUTPUT<37>,IOB,IO_L34N_GCLK18_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
D14,,,GND,,,,,,,,,,,,
D15,,IPAD,MGTREFCLK0P_123,UNUSED,,,,,,,,,,,
D16,,,GND,,,,,,,,,,,,
D17,,IPAD,MGTRXP0_123,UNUSED,,,,,,,,,,,
D18,,,MGTAVTTRX_123,,,,,,,,,,,,
D19,,IPAD,MGTRXP1_123,UNUSED,,,,,,,,,,,
D20,,,VCCAUX,,,,,,,,2.5,,,,
D21,,IOBM,IO_L66P_SCP1_0,UNUSED,,0,,,,,,,,,
D22,,IOBS,IO_L66N_SCP0_0,UNUSED,,0,,,,,,,,,
D23,,IOBM,IO_L4P_M5CKE_5,UNUSED,,5,,,,,,,,,
D24,,IOBM,IO_L17P_M5DQ6_5,UNUSED,,5,,,,,,,,,
D25,,,VCCO_5,,,5,,,,,any******,,,,
D26,,IOBS,IO_L17N_M5DQ7_5,UNUSED,,5,,,,,,,,,
E1,,IOBS,IO_L67N_M4DQ7_4,UNUSED,,4,,,,,,,,,
E2,,IOBM,IO_L67P_M4DQ6_4,UNUSED,,4,,,,,,,,,
E3,,IOBS,IO_L81N_M4A11_4,UNUSED,,4,,,,,,,,,
E4,,IOBM,IO_L81P_M4RESET_4,UNUSED,,4,,,,,,,,,
E5,TRIGGER_OUTPUT<11>,IOB,IO_L8N_VREF_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
E6,TRIGGER_OUTPUT<18>,IOB,IO_L8P_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
E7,,,GND,,,,,,,,,,,,
E8,TRIGGER_OUTPUT<17>,IOB,IO_L15N_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
E9,,,MGTRREF_101,,,,,,,,,,,,
E10,TRIGGER_OUTPUT<25>,IOB,IO_L23N_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
E11,,,MGTAVTTRCAL_101,,,,,,,,,,,,
E12,TRIGGER_OUTPUT<31>,IOB,IO_L31N_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
E13,TRIGGER_OUTPUT<36>,IOB,IO_L34P_GCLK19_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
E14,TRIGGER_OUTPUT<49>,IOB,IO_L40N_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
E15,,,GND,,,,,,,,,,,,
E16,TRIGGER_OUTPUT<57>,IOB,IO_L49N_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
E17,,,VCCAUX,,,,,,,,2.5,,,,
E18,TRIGGER_OUTPUT<61>,IOB,IO_L51N_0,OUTPUT,LVCMOS25*,0,12,SLOW,,,,UNLOCATED,NO,NONE,
E19,,,GND,,,,,,,,,,,,
E20,,IOBS,IO_L57N_0,UNUSED,,0,,,,,,,,,
E21,,,VCCO_0,,,0,,,,,2.50,,,,
E22,,,GND,,,,,,,,,,,,
E23,,IOBM,IO_L8P_M5A7_5,UNUSED,,5,,,,,,,,,
